UUID        = 519c7bb4-12b7-4e68-9969-0fee9bf71ebb
ScanDate    = 20190813_152131
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     22154963     PULS   2415 
     22154965     PULS   2373 
     22154967     PULS   2335 
     22154969     PULS   2294 
     22154971     PULS   2256 
     22154973     PULS   2217 
     22154975     PULS   2181 
     22154977     PULS   2144 
     22154979     PULS   2109 
     22154981     PULS   2074 
     22154983     PULS   2041 
     22154985     PULS   2009 
     22154987     PULS   1978 
     22154989     PULS   1946 
     22154991     PULS   1916 
     22154993     PULS   1888 
     22154995     PULS   1862 
     22154997     PULS   1839 
     22154999     PULS   1817 
     22155001     PULS   1796 
     22155002     PULS   1775 
     22155004     PULS   1757 
     22155006     PULS   1741 
     22155008     PULS   1726 
     22155010     PULS   1710 
     22155012     PULS   1699 
     22155014     PULS   1685 
     22155016     PULS   1675 
     22155018     PULS   1664 
     22155020     PULS   1656 
     22155022     PULS   1649 
     22155024     PULS   1640 
     22155026     PULS   1635 
     22155028     PULS   1631 
     22155030     PULS   1628 
     22155032     PULS   1628 
     22155034     PULS   1628 
     22155036     PULS   1628 
     22155038     PULS   1629 
     22155040     PULS   1631 
     22155042     PULS   1633 
     22155044     PULS   1636 
     22155046     PULS   1642 
     22155048     PULS   1645 
     22155050     PULS   1650 
     22155052     PULS   1656 
     22155054     PULS   1659 
     22155056     PULS   1666 
     22155058     PULS   1673 
     22155060     PULS   1678 
     22155062     PULS   1685 
     22155064     PULS   1692 
     22155066     PULS   1699 
     22155068     PULS   1705 
     22155070     PULS   1708 
     22155072     PULS   1713 
     22155074     PULS   1715 
     22155076     PULS   1715 
     22155078     PULS   1715 
     22155080     PULS   1719 
     22155082     PULS   1717 
     22155084     PULS   1715 
     22155086     PULS   1715 
     22155088     PULS   1715 
     22155090     PULS   1715 
     22155092     PULS   1713 
     22155094     PULS   1712 
     22155096     PULS   1708 
     22155098     PULS   1706 
     22155100     PULS   1705 
     22155102     PULS   1703 
     22155104     PULS   1701 
     22155106     PULS   1698 
     22155108     PULS   1694 
     22155110     PULS   1696 
     22155112     PULS   1694 
     22155114     PULS   1694 
     22155116     PULS   1694 
     22155118     PULS   1692 
     22155120     PULS   1696 
     22155122     PULS   1698 
     22155124     PULS   1699 
     22155126     PULS   1699 
     22155128     PULS   1705 
     22155130     PULS   1706 
     22155132     PULS   1708 
     22155134     PULS   1710 
     22155136     PULS   1712 
     22155138     PULS   1713 
     22155140     PULS   1713 
     22155142     PULS   1713 
     22155144     PULS   1713 
     22155146     PULS   1715 
     22155148     PULS   1715 
     22155150     PULS   1717 
     22155152     PULS   1719 
     22155154     PULS   1720 
     22155156     PULS   1722 
     22155158     PULS   1724 
     22155160     PULS   1726 
     22155162     PULS   1726 
     22155164     PULS   1727 
     22155166     PULS   1729  ECG_TRIGGER
     22155168     PULS   1727 
     22155170     PULS   1729 
     22155172     PULS   1727 
     22155174     PULS   1727 
     22155176     PULS   1727 
     22155178     PULS   1726 
     22155180     PULS   1726 
     22155182     PULS   1724 
     22155184     PULS   1724 
     22155186     PULS   1722 
     22155188     PULS   1720 
     22155190     PULS   1719 
     22155192     PULS   1717 
     22155194     PULS   1713 
     22155196     PULS   1712 
     22155198     PULS   1712 
     22155200     PULS   1712 
     22155202     PULS   1710 
     22155204     PULS   1708 
     22155206     PULS   1706 
     22155208     PULS   1705 
     22155210     PULS   1705 
     22155212     PULS   1705 
     22155214     PULS   1705 
     22155216     PULS   1706 
     22155218     PULS   1710 
     22155220     PULS   1713 
     22155222     PULS   1717 
     22155224     PULS   1719 
     22155226     PULS   1720 
     22155228     PULS   1722 
     22155230     PULS   1722 
     22155232     PULS   1722 
     22155234     PULS   1722 
     22155236     PULS   1722 
     22155238     PULS   1722 
     22155240     PULS   1724 
     22155242     PULS   1727 
     22155244     PULS   1734 
     22155246     PULS   1743 
     22155248     PULS   1755 
     22155250     PULS   1771 
     22155252     PULS   1790 
     22155254     PULS   1815 
     22155256     PULS   1846 
     22155258     PULS   1881 
     22155260     PULS   1925 
     22155262     PULS   1972 
     22155264     PULS   2027 
     22155266     PULS   2086 
     22155268     PULS   2151 
     22155270     PULS   2217 
     22155272     PULS   2287 
     22155274     PULS   2359 
     22155276     PULS   2427 
     22155278     PULS   2499 
     22155280     PULS   2566 
     22155282     PULS   2630 
     22155284     PULS   2692 
     22155286     PULS   2749 
     22155288     PULS   2800 
     22155290     PULS   2851 
     22155292     PULS   2893 
     22155294     PULS   2931 
     22155296     PULS   2961 
     22155298     PULS   2986 
     22155300     PULS   3005 
     22155302     PULS   3017 
     22155304     PULS   3024 
     22155306     PULS   3029 
     22155308     PULS   3028 
     22155310     PULS   3022 
     22155312     PULS   3014 
     22155314     PULS   3001 
     22155316     PULS   2989 
     22155318     PULS   2973 
     22155320     PULS   2954 
     22155322     PULS   2933 
     22155324     PULS   2910 
     22155326     PULS   2886 
     22155328     PULS   2861  PULS_TRIGGER
     22155330     PULS   2833 
     22155332     PULS   2804 
     22155334     PULS   2772 
     22155336     PULS   2742 
     22155338     PULS   2713 
     22155340     PULS   2679 
     22155342     PULS   2646 
     22155344     PULS   2615 
     22155346     PULS   2581 
     22155348     PULS   2548 
     22155350     PULS   2517 
     22155352     PULS   2483 
     22155354     PULS   2448 
     22155356     PULS   2415 
     22155358     PULS   2380 
     22155360     PULS   2345 
     22155362     PULS   2310 
     22155364     PULS   2275 
     22155366     PULS   2238 
     22155368     PULS   2203 
     22155370     PULS   2167 
     22155372     PULS   2132 
     22155374     PULS   2098 
     22155376     PULS   2063 
     22155378     PULS   2030 
     22155380     PULS   1999 
     22155382     PULS   1971 
     22155384     PULS   1943 
     22155386     PULS   1918 
     22155388     PULS   1897 
     22155390     PULS   1880 
     22155392     PULS   1864 
     22155394     PULS   1853 
     22155396     PULS   1843 
     22155398     PULS   1834 
     22155400     PULS   1831 
     22155402     PULS   1827 
     22155404     PULS   1825 
     22155406     PULS   1827 
     22155408     PULS   1831 
     22155410     PULS   1836 
     22155412     PULS   1843 
     22155414     PULS   1850 
     22155416     PULS   1857 
     22155418     PULS   1866 
     22155420     PULS   1874 
     22155422     PULS   1883 
     22155424     PULS   1894 
     22155426     PULS   1904 
     22155428     PULS   1916 
     22155430     PULS   1927 
     22155432     PULS   1937 
     22155434     PULS   1948 
     22155436     PULS   1958 
     22155438     PULS   1969 
     22155440     PULS   1979 
     22155442     PULS   1990 
     22155444     PULS   2000 
     22155446     PULS   2011 
     22155448     PULS   2021 
     22155450     PULS   2032 
     22155452     PULS   2041 
     22155454     PULS   2049 
     22155456     PULS   2058 
     22155458     PULS   2065 
     22155460     PULS   2072 
     22155462     PULS   2081 
     22155464     PULS   2086 
     22155466     PULS   2095 
     22155468     PULS   2100 
     22155470     PULS   2109 
     22155472     PULS   2116 
     22155474     PULS   2125 
     22155476     PULS   2133 
     22155478     PULS   2142 
     22155480     PULS   2151 
     22155482     PULS   2160 
     22155484     PULS   2167 
     22155486     PULS   2175 
     22155488     PULS   2182 
     22155490     PULS   2189 
     22155492     PULS   2198 
     22155494     PULS   2207 
     22155496     PULS   2216 
     22155498     PULS   2224 
     22155500     PULS   2233 
     22155502     PULS   2240 
     22155504     PULS   2245 
     22155506     PULS   2251 
     22155508     PULS   2254 
     22155510     PULS   2256 
     22155512     PULS   2254 
     22155514     PULS   2252 
     22155516     PULS   2245 
     22155518     PULS   2240 
     22155520     PULS   2231 
     22155522     PULS   2221 
     22155524     PULS   2212 
     22155526     PULS   2202 
     22155528     PULS   2191 
     22155530     PULS   2179 
     22155532     PULS   2168 
     22155534     PULS   2156 
     22155536     PULS   2142 
     22155538     PULS   2132 
     22155540     PULS   2119 
     22155542     PULS   2109 
     22155544     PULS   2097 
     22155546     PULS   2086 
     22155548     PULS   2074 
     22155550     PULS   2062 
     22155552     PULS   2051 
     22155554     PULS   2041 
     22155556     PULS   2030 
     22155558     PULS   2018  ECG_TRIGGER
     22155560     PULS   2006 
     22155562     PULS   1992 
     22155564     PULS   1981 
     22155566     PULS   1971 
     22155568     PULS   1960 
     22155570     PULS   1951 
     22155572     PULS   1944 
     22155574     PULS   1937 
     22155576     PULS   1929 
     22155578     PULS   1923 
     22155580     PULS   1920 
     22155582     PULS   1916 
     22155584     PULS   1915 
