UUID        = 519c7bb4-12b7-4e68-9969-0fee9bf71ebb
ScanDate    = 20190813_152131
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     22154963     RESP   1080 
     22154971     RESP   1061 
     22154979     RESP   1043 
     22154987     RESP   1001 
     22154995     RESP    986 
     22155002     RESP    960 
     22155010     RESP    941 
     22155018     RESP    930 
     22155026     RESP    930 
     22155034     RESP    938 
     22155042     RESP    938 
     22155050     RESP    926 
     22155058     RESP    945 
     22155066     RESP    949 
     22155074     RESP    960 
     22155082     RESP    983 
     22155090     RESP    971 
     22155098     RESP    960 
     22155106     RESP    964 
     22155114     RESP    968 
     22155122     RESP    968 
     22155130     RESP    975 
     22155138     RESP    956 
     22155146     RESP    953 
     22155154     RESP    938 
     22155162     RESP    930 
     22155170     RESP    941 
     22155178     RESP    960 
     22155186     RESP    968 
     22155194     RESP    998 
     22155202     RESP   1005 
     22155210     RESP   1005 
     22155218     RESP   1001 
     22155226     RESP    964 
     22155234     RESP    911 
     22155242     RESP    840 
     22155250     RESP    799 
     22155258     RESP    761 
     22155266     RESP    739 
     22155274     RESP    735 
     22155282     RESP    720 
     22155290     RESP    713 
     22155298     RESP    698 
     22155306     RESP    675 
     22155314     RESP    634 
     22155322     RESP    649  PULS_TRIGGER
     22155330     RESP    649 
     22155338     RESP    668 
     22155346     RESP    656 
     22155354     RESP    645 
     22155362     RESP    641 
     22155370     RESP    641 
     22155378     RESP    645 
     22155386     RESP    668 
     22155394     RESP    671 
     22155402     RESP    716 
     22155410     RESP    743 
     22155418     RESP    761 
     22155426     RESP    773 
     22155434     RESP    780 
     22155442     RESP    788 
     22155450     RESP    799 
     22155458     RESP    810 
     22155466     RESP    814 
     22155474     RESP    814 
     22155482     RESP    803 
     22155490     RESP    829 
     22155498     RESP    844 
     22155506     RESP    844 
     22155514     RESP    840 
     22155522     RESP    836 
     22155530     RESP    848 
     22155538     RESP    855 
     22155546     RESP    881 
     22155554     RESP    915 
     22155562     RESP    983 
     22155570     RESP   1058 
     22155578     RESP   1163 
     22155586     RESP   1298 
     22155594     RESP   1391 
     22155602     RESP   1478 
     22155610     RESP   1553 
     22155618     RESP   1613 
     22155626     RESP   1669 
     22155634     RESP   1725 
     22155642     RESP   1823 
     22155650     RESP   1920 
     22155658     RESP   2033 
     22155666     RESP   2141 
     22155674     RESP   2235 
     22155682     RESP   2303 
     22155690     RESP   2381 
     22155698     RESP   2438 
     22155706     RESP   2501 
     22155714     RESP   2569 
     22155722     RESP   2640 
     22155730     RESP   2711 
     22155738     RESP   2783 
     22155746     RESP   2876 
     22155754     RESP   2955 
     22155762     RESP   3030 
     22155770     RESP   3116 
     22155778     RESP   3210 
     22155786     RESP   3304 
     22155794     RESP   3405 
     22155802     RESP   3473 
     22155810     RESP   3540 
     22155818     RESP   3608 
     22155826     RESP   3660 
     22155834     RESP   3743 
     22155842     RESP   3814 
     22155850     RESP   3866 
     22155858     RESP   3934 
     22155866     RESP   3983 
     22155874     RESP   4039 
     22155882     RESP   4095 
     22155890     RESP   4095 
     22155898     RESP   4095 
     22155906     RESP   4095 
     22155914     RESP   4095 
     22155922     RESP   4095 
     22155930     RESP   4095 
     22155938     RESP   4095 
     22155946     RESP   4095 
     22155954     RESP   4095 
     22155962     RESP   4095 
     22155970     RESP   4095 
     22155978     RESP   4095 
     22155986     RESP   4095 
     22155994     RESP   4095 
     22156002     RESP   4095 
     22156010     RESP   4095 
     22156018     RESP   4095 
     22156026     RESP   4091 
     22156034     RESP   4016 
     22156042     RESP   3919 
     22156050     RESP   3821 
     22156058     RESP   3713 
     22156066     RESP   3593 
     22156074     RESP   3480 
     22156082     RESP   3364 
     22156090     RESP   3270 
     22156098     RESP   3195 
     22156106     RESP   3116 
     22156114     RESP   3030 
     22156122     RESP   2929 
     22156130     RESP   2843 
     22156138     RESP   2738 
     22156146     RESP   2636 
     22156154     RESP   2558 
     22156162     RESP   2483 
     22156170     RESP   2408 
     22156178     RESP   2340 
     22156186     RESP   2258 
     22156194     RESP   2186 
     22156202     RESP   2115 
     22156210     RESP   2036 
     22156218     RESP   1961 
     22156226     RESP   1898 
     22156234     RESP   1849 
     22156242     RESP   1808 
     22156250     RESP   1740 
     22156258     RESP   1699 
     22156266     RESP   1635 
     22156274     RESP   1575 
     22156282     RESP   1541 
     22156290     RESP   1504 
     22156298     RESP   1466 
     22156306     RESP   1455 
     22156314     RESP   1433 
     22156322     RESP   1399 
     22156330     RESP   1361 
     22156338     RESP   1309 
     22156346     RESP   1256 
     22156354     RESP   1196 
     22156362     RESP   1140 
     22156370     RESP   1110 
     22156378     RESP   1080 
     22156386     RESP   1050 
     22156394     RESP   1046 
     22156402     RESP   1020 
     22156410     RESP    994 
     22156418     RESP    960 
     22156426     RESP    919 
     22156434     RESP    893 
     22156442     RESP    866 
     22156450     RESP    878 
     22156458     RESP    859 
     22156466     RESP    840 
     22156474     RESP    818 
     22156482     RESP    810 
     22156490     RESP    803 
     22156498     RESP    806 
     22156506     RESP    803 
     22156514     RESP    806 
     22156522     RESP    788 
     22156530     RESP    814 
     22156538     RESP    810 
     22156546     RESP    806 
     22156554     RESP    784 
     22156562     RESP    769 
     22156570     RESP    765 
     22156578     RESP    758 
     22156586     RESP    746 
     22156594     RESP    739 
     22156602     RESP    713 
     22156610     RESP    716 
     22156618     RESP    701 
     22156626     RESP    686 
     22156634     RESP    679 
     22156642     RESP    698 
     22156650     RESP    709 
     22156658     RESP    735 
     22156666     RESP    758 
     22156674     RESP    769 
     22156682     RESP    788 
     22156690     RESP    773 
     22156698     RESP    780 
     22156706     RESP    761 
     22156714     RESP    761 
     22156722     RESP    791 
     22156730     RESP    844 
     22156738     RESP    911 
     22156746     RESP    979 
     22156754     RESP   1050 
     22156762     RESP   1114 
     22156770     RESP   1174 
     22156778     RESP   1249 
     22156786     RESP   1320 
     22156794     RESP   1421 
     22156802     RESP   1523 
     22156810     RESP   1613 
     22156818     RESP   1695 
     22156826     RESP   1774 
     22156834     RESP   1868 
     22156842     RESP   1976 
     22156850     RESP   2051 
     22156858     RESP   2171 
     22156866     RESP   2280 
     22156874     RESP   2393 
     22156882     RESP   2505 
     22156890     RESP   2591 
     22156898     RESP   2651 
     22156906     RESP   2741 
     22156914     RESP   2828 
     22156922     RESP   2903 
     22156930     RESP   2981 
     22156938     RESP   3045 
     22156946     RESP   3113 
     22156954     RESP   3195 
     22156962     RESP   3270 
     22156970     RESP   3341 
     22156978     RESP   3394 
     22156986     RESP   3450 
     22156994     RESP   3544 
     22157002     RESP   3653 
     22157010     RESP   3765 
     22157018     RESP   3851 
     22157026     RESP   3889 
     22157034     RESP   3915 
     22157042     RESP   3934 
     22157050     RESP   3979 
     22157058     RESP   3979 
     22157066     RESP   3998 
     22157074     RESP   4054 
     22157082     RESP   4095 
     22157090     RESP   4095 
     22157098     RESP   4095 
     22157106     RESP   4095 
     22157114     RESP   4095 
     22157122     RESP   4095 
     22157130     RESP   4095 
     22157138     RESP   4095 
     22157146     RESP   4050 
     22157154     RESP   3979 
     22157162     RESP   3885 
     22157170     RESP   3784 
     22157178     RESP   3675 
     22157186     RESP   3570 
     22157194     RESP   3461 
     22157202     RESP   3341 
     22157210     RESP   3266 
     22157218     RESP   3188 
     22157226     RESP   3113 
     22157234     RESP   3026 
     22157242     RESP   2940 
     22157250     RESP   2846 
     22157258     RESP   2756 
     22157266     RESP   2663 
     22157274     RESP   2565 
     22157282     RESP   2475 
     22157290     RESP   2374 
     22157298     RESP   2318 
     22157306     RESP   2250 
     22157314     RESP   2175 
     22157322     RESP   2100 
     22157330     RESP   2021 
     22157338     RESP   1946 
     22157346     RESP   1871 
     22157354     RESP   1823 
     22157362     RESP   1781 
     22157370     RESP   1763 
     22157378     RESP   1748 
     22157386     RESP   1703 
     22157394     RESP   1669 
     22157402     RESP   1628 
     22157410     RESP   1586 
     22157418     RESP   1523 
     22157426     RESP   1451 
     22157434     RESP   1391 
     22157442     RESP   1373 
     22157450     RESP   1324 
     22157458     RESP   1316 
     22157466     RESP   1286 
     22157474     RESP   1264 
     22157482     RESP   1241 
     22157490     RESP   1204 
     22157498     RESP   1133 
     22157506     RESP   1099 
     22157514     RESP   1084 
     22157522     RESP   1076 
     22157530     RESP   1073 
